 id cycle setting1 setting2 setting3 s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 RUL label1 label2
0 1 1 0.471 0.769 0.000 0.000 0.356 0.371 0.309 0.000 1.000 0.209 0.624 0.204 0.333 0.349 0.231 0.643 0.239 0.648 0.000 0.273 0.000 0.000 0.560 0.446 0.492 1 2
1 1 2 0.547 0.231 0.000 0.000 0.389 0.399 0.309 0.000 1.000 0.237 0.647 0.202 0.333 0.309 0.237 0.655 0.279 0.686 0.000 0.364 0.000 0.000 0.488 0.535 0.490 1 2
2 1 3 0.419 0.308 0.000 0.000 0.314 0.353 0.445 0.000 1.000 0.231 0.665 0.241 0.333 0.303 0.217 0.637 0.265 0.564 0.000 0.273 0.000 0.000 0.405 0.459 0.489 1 2
3 1 4 0.384 0.538 0.000 0.000 0.487 0.417 0.237 0.000 1.000 0.268 0.647 0.215 0.333 0.314 0.240 0.685 0.246 0.559 0.000 0.364 0.000 0.000 0.470 0.392 0.487 1 2
4 1 5 0.593 0.462 0.000 0.000 0.197 0.476 0.321 0.000 1.000 0.246 0.671 0.269 0.333 0.263 0.245 0.655 0.252 0.557 0.000 0.364 0.000 0.000 0.577 0.543 0.485 1 2
5 1 6 0.564 0.077 0.000 0.000 0.328 0.387 0.358 0.000 1.000 0.246 0.647 0.263 0.333 0.217 0.237 0.649 0.237 0.625 0.000 0.455 0.000 0.000 0.446 0.515 0.483 1 2
6 1 7 0.279 0.615 0.000 0.000 0.407 0.417 0.375 0.000 1.000 0.238 0.671 0.262 0.333 0.394 0.239 0.649 0.248 0.550 0.000 0.273 0.000 0.000 0.399 0.497 0.481 1 2
7 1 8 0.459 0.077 0.000 0.000 0.347 0.470 0.312 0.000 0.938 0.251 0.682 0.211 0.333 0.354 0.221 0.619 0.302 0.634 0.000 0.273 0.000 0.000 0.524 0.544 0.479 1 2
8 1 9 0.349 0.462 0.000 0.000 0.187 0.460 0.459 0.000 1.000 0.216 0.671 0.227 0.333 0.354 0.207 0.643 0.249 0.610 0.000 0.364 0.000 0.000 0.488 0.554 0.477 1 2
9 1 10 0.610 0.308 0.000 0.000 0.370 0.452 0.393 0.000 1.000 0.248 0.641 0.241 0.333 0.377 0.213 0.631 0.279 0.585 0.000 0.273 0.000 0.000 0.458 0.562 0.475 1 2
10 1 11 0.651 0.308 0.000 0.000 0.337 0.354 0.231 0.000 1.000 0.225 0.653 0.232 0.333 0.377 0.227 0.655 0.235 0.645 0.000 0.364 0.000 0.000 0.476 0.501 0.473 1 2
11 1 12 0.291 0.154 0.000 0.000 0.244 0.371 0.323 0.000 0.938 0.227 0.671 0.265 0.333 0.326 0.222 0.625 0.259 0.489 0.000 0.364 0.000 0.000 0.548 0.458 0.471 1 2
